work_year,experience_level,employment_type,job_title,SalaryLocal,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2023,senior,full-time,Data Analyst,120350,USD,120350,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,74400,USD,74400,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Data Scientist,185000,USD,185000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Scientist,123000,USD,123000,United States,in-person,United States,Medium,Data Science and Research
2023,mid-level,full-time,Data Engineer,140000,USD,140000,United States,remote,United States,Medium,Data Engineering
2023,mid-level,full-time,Data Engineer,90000,USD,90000,United States,remote,United States,Medium,Data Engineering
2023,senior,full-time,Machine Learning Engineer,214500,USD,214500,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Machine Learning Engineer,132600,USD,132600,United States,in-person,United States,Medium,Machine Learning and AI
2023,senior,full-time,Data Engineer,154000,USD,154000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,103000,USD,103000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Analyst,90000,USD,90000,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,80000,USD,80000,United States,remote,United States,Medium,Data Analysis
2023,executive,full-time,Data Manager,140000,USD,140000,United States,in-person,United States,Medium,Leadership and Management
2023,executive,full-time,Data Manager,100000,USD,100000,United States,in-person,United States,Medium,Leadership and Management
2023,senior,full-time,Data Engineer,170000,USD,170000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,100000,USD,100000,United States,in-person,United States,Medium,Data Engineering
2023,mid-level,full-time,Data Analyst,115000,USD,115000,United States,in-person,United States,Medium,Data Analysis
2023,mid-level,full-time,Data Analyst,105000,USD,105000,United States,in-person,United States,Medium,Data Analysis
2023,senior,full-time,Data Scientist,144500,USD,144500,United States,in-person,United States,Medium,Data Science and Research
2023,entry-level,full-time,Data Engineer,220000,USD,220000,United States,in-person,United States,Medium,Data Engineering
2023,entry-level,full-time,Data Engineer,187000,USD,187000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Analyst,118600,USD,118600,United States,in-person,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,96800,USD,96800,United States,in-person,United States,Medium,Data Analysis
2023,entry-level,full-time,Data Scientist,100000,USD,100000,United States,remote,United States,Medium,Data Science and Research
2023,mid-level,full-time,Data Analyst,142000,USD,142000,United States,in-person,United States,Medium,Data Analysis
2023,mid-level,full-time,Data Analyst,128000,USD,128000,United States,in-person,United States,Medium,Data Analysis
2023,senior,full-time,Etl Developer,99500,USD,99500,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,210000,USD,210000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,165000,USD,165000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Research Scientist,172000,USD,172000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Research Scientist,125000,USD,125000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Engineer,250000,USD,250000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,190000,USD,190000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Research Engineer,245000,USD,245000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Research Engineer,245000,USD,245000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Architect,234900,USD,234900,United States,in-person,United States,Medium,Data Architecture and Modeling
2023,senior,full-time,Data Architect,68400,USD,68400,United States,in-person,United States,Medium,Data Architecture and Modeling
2023,senior,full-time,Data Scientist,155000,USD,155000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Scientist,139000,USD,139000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Analyst,142000,USD,142000,United States,in-person,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,128000,USD,128000,United States,in-person,United States,Medium,Data Analysis
2023,senior,full-time,Research Engineer,172000,USD,172000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Research Engineer,125000,USD,125000,United States,in-person,United States,Medium,Data Science and Research
2023,senior,full-time,Data Engineer,128000,USD,128000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,81500,USD,81500,United States,in-person,United States,Medium,Data Engineering
2023,mid-level,full-time,Data Engineer,167500,USD,167500,United States,in-person,United States,Medium,Data Engineering
2023,mid-level,full-time,Data Engineer,106500,USD,106500,United States,in-person,United States,Medium,Data Engineering
2023,mid-level,full-time,Data Engineer,150000,USD,150000,United States,remote,United States,Medium,Data Engineering
2023,mid-level,full-time,Data Engineer,100000,USD,100000,United States,remote,United States,Medium,Data Engineering
2023,senior,full-time,Data Analyst,139600,USD,139600,United States,in-person,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,85700,USD,85700,United States,in-person,United States,Medium,Data Analysis
2020,entry-level,full-time,Azure Data Engineer,100000,USD,100000,Mauritius,in-person,Mauritius,Small,Data Engineering
2023,senior,full-time,Data Engineer,143000,USD,143000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Engineer,95000,USD,95000,United States,in-person,United States,Medium,Data Engineering
2023,senior,full-time,Data Manager,145000,USD,145000,United States,in-person,United States,Medium,Leadership and Management
2023,senior,full-time,Data Manager,130000,USD,130000,United States,in-person,United States,Medium,Leadership and Management
2023,senior,full-time,Machine Learning Engineer,188000,USD,188000,United States,remote,United States,Medium,Machine Learning and AI
2023,senior,full-time,Data Scientist,238000,USD,238000,Canada,remote,Canada,Medium,Data Science and Research
2023,senior,full-time,Data Scientist,156000,USD,156000,Canada,remote,Canada,Medium,Data Science and Research
2023,senior,full-time,Data Analyst,145000,USD,145000,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Data Analyst,106000,USD,106000,United States,remote,United States,Medium,Data Analysis
2023,senior,full-time,Decision Scientist,140000,GBP,172256,United Kingdom,remote,United Kingdom,Medium,Data Science and Research
2023,senior,full-time,Decision Scientist,100000,GBP,123040,United Kingdom,remote,United Kingdom,Medium,Data Science and Research
2023,senior,full-time,Machine Learning Engineer,198200,USD,198200,United States,remote,United States,Medium,Machine Learning and AI
